parameter,region_dataset,region_name,sum_interp_1880-2020_kg/ha,sum_interp_1900-2020_kg/ha,sum_interp_1950-2020_kg/ha,sum_interp_1970-2020_kg/ha,sum_interp_1980-2020_kg/ha,sum_interp_1990-2020_kg/ha,sum_interp_2000-2020_kg/ha
N,Forsuringsregionene,Fjellregion - Sør-Norge,316.5846100265952,286.46266882042545,181.75818097124835,125.74706535197302,90.05054863827024,53.75052079076738,32.61481290184593
N,Forsuringsregionene,Midt - Norge,207.8987602344691,186.83925930644008,121.10394872496056,88.46476930570873,68.57832273819002,47.316040716110564,29.312404221255278
N,Forsuringsregionene,Nord - Norge,120.29776188457268,108.60901805542902,71.3449620411449,52.455459939247156,40.57046818861046,28.41343493875366,17.483947880676777
N,Forsuringsregionene,Sørlandet - Vest,821.7832760817861,765.0562100750466,541.0388020259701,405.6900738696936,314.98893593567294,212.45626378487316,126.07336940278852
N,Forsuringsregionene,Sørlandet - Øst,754.7824684779841,698.885267365556,481.19477214268466,351.65235555977796,265.06833969525695,168.8843044314832,99.32002715934944
N,Forsuringsregionene,Vestlandet - Nord,395.2032676950425,360.82027249029835,240.73321635014446,174.31904789975113,131.53184386005628,83.80715080818385,50.42304022926135
N,Forsuringsregionene,Vestlandet - Sør,580.9871954695749,530.7168560698345,351.61256857664904,251.5723135740491,187.44436779854416,120.86666407351348,72.44503794010339
N,Forsuringsregionene,Øst - Finnmark,95.04679252420001,86.32453706603694,58.645999248069515,44.389573809723785,34.94299774241602,24.41384683675768,14.949589320262254
N,Forsuringsregionene,Østlandet - Nord,286.0917747754302,260.2017497813141,171.07428749692505,123.74063491645259,93.61619414765266,62.13843875525626,37.8140529380544
N,Forsuringsregionene,Østlandet - Sør,547.2205462597902,508.3988726692372,357.67916534266584,269.86137127786253,211.26646573659787,145.21363767028694,87.02833904704973
N,Heleen_aggregated,East,444.4670339437246,410.73393142777104,284.25061702542814,212.3632304257581,164.9713808940331,112.52375663438401,67.66264171281358
N,Heleen_aggregated,Middle,207.8987602344691,186.83925930644008,121.10394872496056,88.46476930570873,68.57832273819002,47.316040716110564,29.312404221255278
N,Heleen_aggregated,Mountains,316.5846100265952,286.46266882042545,181.75818097124835,125.74706535197302,90.05054863827024,53.75052079076738,32.61481290184593
N,Heleen_aggregated,North,118.67041058051957,107.17284827197724,70.52655093911946,51.93563711090762,40.20779413683697,28.155673154619034,17.3206158656017
N,Heleen_aggregated,South,775.3018025841279,719.1504511765268,499.5223070985992,368.20167841110316,280.35677321821163,182.22843599655988,107.51337269624689
N,Heleen_aggregated,West,454.1776601227452,414.7514597149828,275.9302460860597,198.8419679433339,149.28045735892385,95.57115162714383,57.413601525916214
S,Forsuringsregionene,Fjellregion - Sør-Norge,465.3434490809521,427.47348423603523,275.95165589407776,162.86077315574516,91.43668373386589,32.855205955604845,16.136307601605687
S,Forsuringsregionene,Midt - Norge,271.64912162516134,245.739249885633,157.33097355591846,99.14520472537343,64.02955448977794,33.127208109320854,18.384076337801364
S,Forsuringsregionene,Nord - Norge,164.59192380434942,149.65479355671312,102.71560578137216,69.3503621278016,48.26281742589131,29.44482803148971,17.257231369125723
S,Forsuringsregionene,Sørlandet - Vest,1352.8116130592239,1249.520054406487,811.1752946382019,490.6808389971964,295.774667446102,138.30220188950122,59.483198952747045
S,Forsuringsregionene,Sørlandet - Øst,1149.3536926578756,1068.1753217825797,710.9732628976897,431.43244322212547,253.71008938504454,104.97880874388903,47.36866120660547
S,Forsuringsregionene,Vestlandet - Nord,643.2902717564527,589.0672190535971,377.0292063947885,230.47063625612563,143.0592236235933,69.75960165099151,33.466732299545924
S,Forsuringsregionene,Vestlandet - Sør,950.2610709266211,870.0960780195899,548.6163276872951,326.1361263898806,194.92338248050226,91.27627118810939,40.68249438081525
S,Forsuringsregionene,Øst - Finnmark,151.03328220430504,142.03355750005963,109.50547237324733,71.8044102068672,49.312824727421386,29.568409443997627,16.774275627532834
S,Forsuringsregionene,Østlandet - Nord,348.1151377298215,322.58515264029313,218.45715973196,135.19139949615473,80.45834622962188,33.7141633237191,16.730543572313902
S,Forsuringsregionene,Østlandet - Sør,712.72119671817,672.6331546996341,480.0114893680719,303.86442971777,182.84423714508492,80.2417478829341,38.082112579727756
S,Heleen_aggregated,East,569.2496330149136,534.8901496437054,377.0905209936842,237.4920181686929,142.5556475600667,61.93326082551145,29.680324080898817
S,Heleen_aggregated,Middle,271.64912162516134,245.739249885633,157.33097355591846,99.14520472537343,64.02955448977794,33.127208109320854,18.384076337801364
S,Heleen_aggregated,Mountains,465.3434490809521,427.47348423603523,275.95165589407776,162.86077315574516,91.43668373386589,32.855205955604845,16.136307601605687
S,Heleen_aggregated,North,163.71810891137952,149.16362712827672,103.15319287337408,69.50851836666442,48.330487333015434,29.45279249296964,17.22610628063251
S,Heleen_aggregated,South,1211.663703455709,1123.7130576723202,741.6606387806233,449.577562238463,266.59257785253914,115.1842653937339,51.07879928470922
S,Heleen_aggregated,West,740.7336652241446,678.2757227745626,431.49703010731565,260.83824783867055,159.5227427987937,76.58975390484612,35.757270505639596
